Field,Name of organisation,Tech Stack,Topics
Science and medicine,RADAR-base,"java, kotlin, docker, angular, kafka","web, mhealth, remote patient monitoring, micro-services, devices"
Science and medicine,IOOS,"python, ocean science","open data, data science"
Science and medicine,Ste||ar group,"c++, hpc","library, optimization, parallel algorithms, hpx, application"
Science and medicine,GNSS-SDR,"c, c++, sdr","gnss, geolocation, navigation, software defined radio, communications"
Security,SCoRe Lab,"python, java, go, nodejs, reactjs","security, web, machine learning, cloud"
Security,coreboot,"c, assembly, arm, x86","hardware, drivers, firmware, boot loader, BIOS"
Security,OWASP Foundation,"python, javascript, java, ZAP, Juice Shop","web, cloud, application security, cybersecurity, DevSecOps"
Security,Metasploit,"c, python, postgresql, ruby, assembly","security, penetration testing, offensive security, exploitation"
Security,libssh,"c, ssh","security, cryptography"
Security,AFLplusplus,"llvm, rust, fuzzing, qemu","fuzzing, ci"
Security,Rizin,"c, python, c++, qt","reverse engineering, computer security, debugging, emulation, disassembly"
Security,AboutCode,"python, javascript, Django+PostgreSQL, C/Rust/Go","dependencies, vulnerabilities, SoftwareCompositionAnalysis, License, SBOM"
Security,The Tor Project,"c, python, rust","security, privacy, anti-censorship, Human Rights, Surveillance"
Security,Casbin,"javascript, java, go, OIDC, OAuth","security, cloud, authorization, IAM, Authentication"
Security,LEAP Encryption Access Project,"java, golang, qt5, docker, ansible","privacy, vpn, Circumvention"
Security,The Honeynet Project,"python, javascript, django, go, docker","honeypots, malware analysis, Threat Intelligence"
Social and communication,Drupal Association,"mysql, javascript, html, php, symfony","web, cloud, DXP, Massive community, Inclusive"
Social and communication,Public Lab,"javascript, ruby on rails","science, environment, community, documentation, forum"
Social and communication,rocket.chat,"javascript, raspberry pi, typescript, node, meteorJS","communications, messaging, group chat, Team Collaboration, Chat platform"
Social and communication,XWiki,"javascript, java, html5, css3, velocity","web development, wiki, platform, web applications, structured data"
Social and communication,Joplin,"javascript, react, typescript, electron, React-Native","database, search, synchronisation, note-taking, office"
Social and communication,AOSSIE,"python, javascript, machine learning, scala, Blockchain","machine learning, electronic voting, natural language processing, social science"
Social and communication,Zulip,"python, django, typescript, react native, electron","mobile, great developer tooling, visual design, teaching quality codebase, team chat"
Social and communication,Jitsi,"javascript, java, react, webrtc, react native","video conferencing, WebRTC"
Social and communication,Matrix.org,"python, javascript, rust","interoperability, decentralisation, Secure Messaging"
Social and communication,The Palisadoes Foundation,"mongodb, node.js, flutter, graphql, typescript","web, api, database, cloud, mobile"
Social and communication,XMPP Standards Foundation,"javascript, java, go, vala, xmpp","instant messaging, chat, WebRTC, Jingle, Real-Time Communication"
Web,omegaUp,"python, mysql, php, typescript, vue.js","education, web, cloud, edtech, UX/UI"
Web,Django Software Foundation,"python, django","web, python"
Web,Ruby,"ruby on rails, ruby, rubygems, bundler","security, web"
Web,Drupal Association,"mysql, javascript, html, php, symfony","web, cloud, DXP, Massive community, Inclusive"
Web,Open Technologies Alliance - GFOSS,"javascript, c/c++, nodejs, python 3, Machine Learning (ML)","web, robotics, open hardware, c++, nodered"
Web,MetaBrainz Foundation Inc,"python, react, perl, postgres, spark","open data, music, books, Music recommendation, music social network"
Web,Submitty,"python, postgresql, javascript, c++, php","education, visualization, web, privacy/security, communication"
Web,Joomla!,"mysql, javascript, html, php, css","web, programming languages, web development, web applications, cms"
Web,Neutralinojs,"c, javascript, node.js, c++, typescript","desktop, framework, cross-platform, Application Development"
Web,Plone Foundation,"python, javascript, react","web, cms"
Web,The Tor Project,"c, python, rust","security, privacy, anti-censorship, Human Rights, Surveillance"
Web,FOSSology,"python, postgresql, c/c++, php, reactjs","automation, spdx, license compliance, nlp, compliance automation"
Web,Wikimedia Foundation,"python, javascript, html, php, css","semantic web, wikipedia, wikimedia, mediawiki, i18n"
Web,XWiki,"javascript, java, html5, css3, velocity","web development, wiki, platform, web applications, structured data"
Web,Wagtail,"python, javascript, django","web, accessibility, cms"
Web,PostgreSQL,"c, python, postgresql, javascript, sql","web, database, ui, sql, Benchmark"
Web,Casbin,"javascript, java, go, OIDC, OAuth","security, cloud, authorization, IAM, Authentication"
Web,Global Alliance for Genomics and Health,"python, postgresql, java, react, rust","web, genomics, bioinformatics, genetics, standards"
Web,OpenWISP,"python, javascript, django, lua, openwrt","networking, network management system, wifi, vpn, sdn"
Web,Jitsi,"javascript, java, react, webrtc, react native","video conferencing, WebRTC"
Web,Chromium,"python, javascript, java, c++, git","web, browser, operating-system"
Web,Electron,"javascript, node.js, c++, typescript, Chromium","desktop, framework, javascript"
Web,JBoss Community,"java, rust, golang","iot, cloud, microservices, kubernetes"
Other,Python Software Foundation,"python, javascript, sqlite","security, database, science, design"
Other,MIT App Inventor,"javascript, java, gwt","education, development tools, android"
Other,ScummVM,"opengl, lua, c++, assembly, sdl","games, game engines, software preservation, software archeology"
Other,MoveIt,"ros, c++","robotics, motion planning, trajectory generation, kinematics"
Other,Learning Equality,"python, javascript, django, vue.js","education, distributed databases, offline, learning"
Other,OSGeo (Open Source Geospatial Foundation),"c, python, javascript, java, c++","open science, gis, citizen science, geolocation, mapping"
Other,Micro Electronics Research Lab - UITU,"RISCV, Processor, Hardware, systemonchip, memory","iot, embedded, Processor, System on Chip, RISC-V"
Other,JdeRobot,"python, ros, gazebo, opencv, tensorflow","education, artificial intelligence, robotics, computer vision, developer tools"
Other,FOSSology,"python, postgresql, c/c++, php, reactjs","automation, spdx, license compliance, nlp, compliance automation"
Other,PowerDNS,"c++, DNS","DNS recursive solutions, Authoritative DNS software"
Other,OpenVINO Toolkit,"python, c++, x86","deep learning, Neural networks, Edge AI, DL-inference"
Other,syslog-ng,"c, python, sql, elasticsearch, kafka","cloud, data processing pipeline, reliable log transfer, logging, high-performance data processing"
Other,Center for Research in Open Source Software (CROSS),"python, c/c++, verilog, apache arrow, matlab/simulink","hardware, data science, networking, data management, systems"
Other,SPDX,"python, java, json, go, rdf","compliance, licensing, data, vulnerabilities"
Other,CHAOSS,"python, postgresql, javascript, machine learning, airflow","Diversity Equity and Inclusion, open source software metrics, software sustainability, community building, security and software bill of materials"
Other,RoboComp,"python, opencv, c++, qt, pytorch","robotics, computer vision, component-based development, Multi-agent Systems"
Other,Apache Software Foundation,"c, java, c++","big data, cloud, libraries, other"
Other,FRRouting,"c, linux, networking, linux kernel, routing","networking, software defined networking, linux, routing, systems"
Other,Free and Open Source Silicon Foundation,"verilog, risc-v, compiler, web development","hardware, debug, web services, simulation, electronic design tools"
Other,GNSS-SDR,"c, c++, sdr","gnss, geolocation, navigation, software defined radio, communications"
